Año;arrivals;lat;lon;place;Stamp;datetime
2005;4715;27.992401;-15.628671;Canarias;01-01-05;01-01-05 0:00
2005;7066;40.415349;-3.686704;Península;01-01-05;01-01-05 0:00
2005;5566;35.887949;-5.329905;Ceuta y Melilla;01-01-05;01-01-05 0:00
2006;31678;27.992401;-15.628671;Canarias;01-01-06;01-01-06 0:00
2006;7502;40.415349;-3.686704;Península;01-01-06;01-01-06 0:00
2006;2000;35.887949;-5.329905;Ceuta y Melilla;01-01-06;01-01-06 0:00
2007;12478;27.992401;-15.628671;Canarias;01-01-07;01-01-07 0:00
2007;4243;40.415349;-3.686704;Península;01-01-07;01-01-07 0:00
2007;1553;35.887949;-5.329905;Ceuta y Melilla;01-01-07;01-01-07 0:00
2008;9181;27.992401;-15.628671;Canarias;01-01-08;01-01-08 0:00
2008;4244;40.415349;-3.686704;Península;01-01-08;01-01-08 0:00
2008;1210;35.887949;-5.329905;Ceuta y Melilla;01-01-08;01-01-08 0:00
2009;2246;27.992401;-15.628671;Canarias;01-01-09;01-01-09 0:00
2009;5039;40.415349;-3.686704;Península;01-01-09;01-01-09 0:00
2009;1108;35.887949;-5.329905;Ceuta y Melilla;01-01-09;01-01-09 0:00
2010;196;27.992401;-15.628671;Canarias;01-01-10;01-01-10 0:00
2010;3436;40.415349;-3.686704;Península;01-01-10;01-01-10 0:00
2010;1567;35.887949;-5.329905;Ceuta y Melilla;01-01-10;01-01-10 0:00
2011;340;27.992401;-15.628671;Canarias;01-01-11;01-01-11 0:00
2011;5101;40.415349;-3.686704;Península;01-01-11;01-01-11 0:00
2011;3343;35.887949;-5.329905;Ceuta y Melilla;01-01-11;01-01-11 0:00
2012;173;27.992401;-15.628671;Canarias;01-01-12;01-01-12 0:00
2012;3631;40.415349;-3.686704;Península;01-01-12;01-01-12 0:00
2012;2841;35.887949;-5.329905;Ceuta y Melilla;01-01-12;01-01-12 0:00
2013;196;27.992401;-15.628671;Canarias;01-01-13;01-01-13 0:00
2013;3014;40.415349;-3.686704;Península;01-01-13;01-01-13 0:00
2013;4235;35.887949;-5.329905;Ceuta y Melilla;01-01-13;01-01-13 0:00
2014;296;27.992401;-15.628671;Canarias;01-01-14;01-01-14 0:00
2014;4256;40.415349;-3.686704;Península;01-01-14;01-01-14 0:00
2014;7485;35.887949;-5.329905;Ceuta y Melilla;01-01-14;01-01-14 0:00
2015;875;27.992401;-15.628671;Canarias;01-01-15;01-01-15 0:00
2015;3793;40.415349;-3.686704;Península;01-01-15;01-01-15 0:00
2015;11624;35.887949;-5.329905;Ceuta y Melilla;01-01-15;01-01-15 0:00
2016;672;27.992401;-15.628671;Canarias;01-01-16;01-01-16 0:00
2016;7443;40.415349;-3.686704;Península;01-01-16;01-01-16 0:00
2016;6443;35.887949;-5.329905;Ceuta y Melilla;01-01-16;01-01-16 0:00
2017;425;27.992401;-15.628671;Canarias;01-01-17;01-01-17 0:00
2017;20611;40.415349;-3.686704;Península;01-01-17;01-01-17 0:00
2017;6798;35.887949;-5.329905;Ceuta y Melilla;01-01-17;01-01-17 0:00
2018;1307;27.992401;-15.628671;Canarias;01-01-18;01-01-18 0:00
2018;54703;40.415349;-3.686704;Península;01-01-18;01-01-18 0:00
2018;8288;35.887949;-5.329905;Ceuta y Melilla;01-01-18;01-01-18 0:00
2019;2687;27.992401;-15.628671;Canarias;01-01-19;01-01-19 0:00
2019;21863;40.415349;-3.686704;Península;01-01-19;01-01-19 0:00
2019;7899;35.887949;-5.329905;Ceuta y Melilla;01-01-19;01-01-19 0:00
2020;23023;27.992401;-15.628671;Canarias;01-01-20;01-01-20 0:00
2020;16610;40.415349;-3.686704;Península;01-01-20;01-01-20 0:00
2020;2228;35.887949;-5.329905;Ceuta y Melilla;01-01-20;01-01-20 0:00
